patent,claim
06848244,"10. The rotatable cutter assembly of  further comprising a housing covering at least a portion of the rotatable drum assembly."
06848245,"1. A grass cutting blade for use in conjunction with a device for cutting grass or other vegetation into clippings, said grass cutting blade comprising:



"
06848245,"2. The grass cutting blade as claimed in , wherein said first and second cutting edges of said second end each include a substantially straight cutting edge portion, said cutting edge portions being substantially parallel."
06848245,"3. The grass cutting blade as claimed in , wherein said airfoil portion is elongate and has a longitudinal axis substantially parallel to said first and second cutting edges."
06848245,"4. The grass cutting blade as claimed in , wherein said airfoil portion has a transverse cross section which is shaped as an inverted “V”."
06848245,"5. The grass cutting blade as claimed in , wherein said airfoil portion has a transverse cross section which is shaped in a substantially semicircular manner."
06848245,"6. The grass cutting blade as claimed in , wherein said airfoil portion has a transverse cross section which is shaped as an inverted “V”."
06848245,"7. The grass cutting blade as claimed in , wherein said airfoil portion has a transverse cross section which is shaped in a substantially semicircular manner."
06848245,"8. A grass cutting blade and housing combination for use in conjunction with a device for cutting grass or other vegetation, said grass cutting blade and housing combination comprising:


"
06848245,"9. The grass cutting blade and housing combination as claimed in , wherein said first and second cutting edges of said second end each include a substantially straight cutting edge portion, said cutting edge portions being substantially parallel."
06848245,"10. The grass cutting blade and housing combination as claimed in , wherein said airfoil portion is elongate and has a longitudinal axis substantially parallel to said first and second cutting edges."
06848245,"11. The grass cutting blade and housing combination as claimed in , wherein said airfoil portion has a transverse cross section which is shaped as an inverted “V”."
06848245,"12. The grass cutting blade and housing combination as claimed in , wherein said airfoil portion has a transverse cross section which is shaped in a substantially semicircular manner."
06848245,"13. The grass cutting blade and housing combination as claimed in , wherein said airfoil portion has a transverse cross section which is shaped as an inverted “V”."
06848245,"14. The grass cutting blade as claimed in , wherein said airfoil portion has a transverse cross section which is shaped in a substantially semicircular manner."
06848245,"15. The grass cutting blade and housing combination as claimed in , wherein said housing includes a forwardly positioned, downwardly-directed, channel leading to said discharge opening of said housing."
06848245,"16. A method for cutting grass or other vegetation with a grass cutting blade, said method comprising the steps of:



"
06848245,"17. The method as claimed in , wherein said first direction is opposite to said second direction."
06848245,"18. A method for cutting grass or other vegetation into clippings with a grass cutting blade used in combination with a grass cutting blade housing, said method comprising the steps of:




"
06848245,"19. The method as claimed in , wherein said first direction is opposite to said second direction."
06848245,"20. A method for cutting grass or other vegetation with a grass cutting blade used in conjunction with a grass cutting device, said method comprising the steps of:





"
06848245,"21. A method for cutting grass or other vegetation with a grass cutting blade used in conjunction with a grass cutting device, said method comprising the steps of:



"
06848246,"1. A mower unit system attachable to a vehicle body comprising:






"
06848246,"2. The mower unit system as defined in , wherein said rear baffle has an inner configuration for surrounding, in form of a concentric part circle, the rear portion of the track of rotation of each rotary blade."
06848246,"3. The mower unit system as defined in , wherein said top board of the mower deck is formed flat so that the mower deck has a substantially uniform height throughout over the ground."
06848246,"4. The mower unit system as defined in , wherein said front wall is shaped, in combination with said top board, said side wall and said rear baffle, for transmitting grass clippings cut by said rotary blades to said grass discharge opening when both said front baffle and said mulching baffle are removed."
06848246,"5. The mower unit system as defined in , wherein each of said front baffle and said mulching baffle is dividable into at least two segments."
06848246,"6. The mower unit system as defined in , wherein said counter curved segment of said front baffle have a radius substantially corresponding to a radius of rotation of said rotary blades."
06848246,"7. The mower unit system as defined in , wherein three rotary blades are juxtaposed inside the mower deck, and when said mulching baffle is attached, portions of said mulching baffles and portions of said rear baffle define circular mulching chambers of left and right rotary blades concentric with tracks of rotation of the left and right rotary blades, and a remaining portion of said mulching baffle and a remaining portion of said rear baffle define a mulching chamber of the middle rotary blade having a shape partly encroached on by the mulching chambers of the left and right rotary blades."
06848246,"8. The mower unit system as defined in , wherein when both said front baffle and said mulching baffle are removed from said mower deck, said front wall and said rear baffle form a grass clippings processing space for standard side discharge."
06848246,"9. A mower unit attachable to a vehicle body comprising:






"
06848246,"10. A mower deck having a top board and one front wall and one side wall depending from said top board, said mower deck defining a grass discharge opening at an opposite side of said side wall, a plurality of rotary blades juxtaposed inside said mower deck to be rotatable about vertical axes, all of said rotary blades being rotatable in the same direction so that a front half, with respect to a traveling direction, of a track of rotation of each rotary blade points toward the side having said grass discharge opening, and a front baffle attachable to said mower deck to be located forwardly of the tracks of rotation of said rotary blades, said front baffle comprising:



"
06848246,"11. The mower deck unit system as defined in , wherein said counter curved segments of said front baffle have a radius substantially corresponding to a radius of rotation of said rotary blades."
06848246,"12. A mower unit attachable to a vehicle body comprising:







"
06848246,"13. A mower deck having a top board and one front wall and one side wall depending from said top board, said mower deck defining a grass discharge opening at an opposite side of said side wall, a plurality of rotary blades juxtaposed inside said mower deck to be rotatable about vertical axes, all of said rotary blades being rotatable in the same direction so that a front half, with respect to a traveling direction, of a track of rotation of each rotary blade points toward the side having said grass discharge opening, and a front baffle attachable to said mower deck to be located forwardly of the tracks of rotation of said rotary blades, said front baffle comprising:




"
06848247,"1. A golf bunker rake, comprising:





"
06848247,"2. A golf bunker rake head assembly, comprising:



"
06848247,"3. A golf bunker rake head assembly according to , wherein said first teeth form a first row and said second teeth form a second row."
06848247,"4. A golf bunker rake head assembly according to , wherein said second row is forward of said first row."
06848247,"5. A golf bunker rake head assembly according to , wherein said second row is behind said first row."
06848247,"6. A golf bunker rake head assembly according to , wherein said coupling member, said first teeth and said second teeth are unitarily formed."
06848247,"7. A golf bunker rake head assembly according , wherein said first row is non-linear with said second row."
06848247,"8. A golf bunker rake head assembly according to , wherein said first teeth comprise five first teeth."
06848247,"9. A golf bunker rake head assembly according to , wherein said second teeth comprise thirteen second teeth."
06848247,"10. A golf bunker rake head assembly according to , wherein said first and second teeth and said coupling member are made from a material selected from the group consisting of neoprene, polypropylene, urethane, steel or aluminum."
06848247,"11. A golf bunker rake head assembly, comprising:



"
06848247,"12. A golf bunker rake head assembly according to , wherein said first teeth form a first row and said second teeth form a second row."
06848247,"13. A golf bunker rake head assembly according to , wherein said second row is forward of said first row."
06848247,"14. A golf bunker rake head assembly according to , wherein said second row is behind said first row."
06848247,"15. A golf bunker rake head assembly according to , wherein said coupling member, said first teeth and said second teeth are unitarily formed."
06848247,"16. A golf bunker rake head assembly according to , wherein said first teeth comprise five first teeth."
06848247,"17. A golf bunker rake head assembly according to , wherein said second teeth comprise thirteen second teeth."
06848247,"18. A golf bunker rake head assembly according to , wherein said first and second teeth taper inwardly from said first and second bases to the first and second tips, respectively."
06848247,"19. A golf bunker rake head assembly according to , wherein said first and second teeth and said coupling member are made from a material selected from the group consisting of neoprene, polypropylene, urethane, steel or aluminum."
06848247,"20. A golf bunker rake head assembly, comprising:




"
06848247,"21. A golf bunker rake head assembly according to , wherein said first teeth form a first row and said second teeth form a second row."
06848247,"22. A golf bunker rake head assembly according to , wherein said coupling member, said first teeth and said second teeth are unitarily formed."
06848247,"23. A golf bunker rake head assembly according to , wherein said first teeth and said second teeth are threadably connected or welded to said coupling member."
06848247,"24. A golf bunker rake head assembly according to , wherein said first teeth comprise five first teeth."
06848247,"25. A golf bunker rake head assembly according to , wherein said second teeth comprise thirteen second teeth."
06848247,"26. A golf bunker rake head assembly according to , wherein said first teeth have a first length and said second teeth have a second length, said first length being longer than said second length."
06848247,"27. A golf bunker rake head assembly according to , wherein said first and second teeth and said coupling member are made from a material selected from the group consisting of neoprene, polypropylene, urethane, steel or aluminum."
06848247,"28. A golf bunker rake head assembly, comprising:



"
06848247,"29. A golf bunker rake head assembly according to , wherein said first teeth form a first row and said second teeth form a second row."
06848247,"30. A golf bunker rake head assembly according to , wherein said coupling member, said first teeth and said second teeth are unitarily formed."
06848247,"31. A golf bunker rake head assembly according to , wherein said first and second teeth and said coupling member are made from a material selected from the group consisting of neoprene, polypropylene, urethane, steel or aluminum."
06848247,"32. A golf bunker rake head assembly according , wherein said coupling member has a first and a second surface, the handle being received by said first surface and said first and second teeth being connected to said second surface."
06848247,"33. A golf bunker rake head assembly, comprising:



"
06848247,"34. A golf bunker rake head assembly according to , wherein said first teeth form a first row and said second teeth form a second row."
06848247,"35. A golf bunker rake head assembly according to , wherein said coupling member, said first teeth and said second teeth are unitarily formed."
06848247,"36. A golf bunker rake head assembly according to , wherein said first teeth and said second teeth are threadably connected or welded to said coupling member."
06848247,"37. A golf bunker rake head assembly according to , wherein said first teeth have a first length and said second teeth have a second length, said first length being longer than said second length."
06848247,"38. A golf bunker rake head assembly according to , wherein said first and second teeth and said coupling member are made from a material selected from the group consisting of neoprene, polypropylene, urethane, steel or aluminum."
06848247,"39. A golf bunker rake head assembly according to , wherein said coupling member has a first and a second surface, the handle being received by said first surface and said first and second teeth being connected to said second surface."
06848247,"40. A golf bunker rake head assembly according to , wherein said first row is non-linear with said second row."
06848248,"1. A method of making a composite twisted elongated yarn, said method comprising providing a first elongated yarn of polymer material, said first elongated yarn having a deformed outer surface and a non-uniform cross-section over its entire length, providing a second elongated yarn of polymer material, heating said first elongated yarn to a temperature below the softening temperature of said polymer material, heating said second elongated yarn to a temperature below the softening temperature of said polymer material, and twisting said first and second elongated yarns together after said heating to form a composite yarn therefrom having a twisted shape, wherein said temperature is sufficient to prevent said composite yarn from untwisting without said first and second elongated yarns adhering to each other."
06848248,"2. The method of , wherein said temperature is in the range of 100° to 200° F."
06848248,"3. The method of , further including cooling said composite yarn after said twisting to ambient temperature."
06848248,"4. The method of , wherein said first and second elongated yarns each consist of a single strand of polymer material."
06848248,"5. The method of , wherein said second elongated yarn has a deformed outer surface and a non-uniform cross-section over its entire length."
06848248,"6. The method of , wherein said first and second elongated yarns have a deformed outer surface and a non-uniform cross-section over their entire length."
06848248,"7. The method of , wherein said first elongated yarn comprises foamed polymer material."
06848248,"8. The method of , wherein said second elongated yarn comprises foamed polymer material."
06848248,"9. The method of , wherein said first and second elongated yarns comprise foamed polymer material."
06848248,"10. A method of making a composite twisted elongated yarn, said method comprising providing a first elongated yarn of polymer material having shape memory properties, said first elongated yarn having a deformed outer surface and a non-uniform cross-section over its entire length, providing a second elongated yarn of polymer material having shape memory properties, heating said first elongated yarn to a temperature below the softening temperature of said polymer material, heating said second elongated yarn to a temperature below the softening temperature of said polymer material, and continually twisting after said heating said first and second elongated yarns together to form a composite yarn therefrom having a twisted shape, wherein said temperature is sufficient to cause said first and second elongated yarns to lose their shape memory properties sufficiently to prevent said composite yarn from untwisting without said first and second elongated yarns adhering to each other."
06848248,"11. The method of , wherein said temperature is in the range of 100° to 200° F."
06848248,"12. The method of , further including cooling said composite yarn after said twisting to ambient temperature."
06848248,"13. The method of , wherein said first and second elongated yarns each consist of a single strand of polymer material."
06848248,"14. The method of , wherein said second elongated yarn has a deformed outer surface and a non-uniform cross-section over its entire length."
06848248,"15. The method of , wherein said first and second elongated yarns have a deformed outer surface and a non-uniform cross-section over their entire length."
06848248,"16. The method of , wherein said first elongated yarn comprises foamed polymer material."
06848248,"17. The method of , wherein said second elongated yarn comprises foamed polymer material."
06848248,"18. The method of , wherein said first and second elongated yarns comprise foamed polymer material."
06848248,"19. A method of making an article having a frame and a woven portion formed from elongated twisted yarns, said method comprising forming a composite twisted yarn by providing a first elongated yarn of polymer material, said first elongated yarn having a deformed outer surface and a non-uniform cross-section over its entire length, providing a second elongated yarn of polymer material, heating said first elongated yarn to a temperature below the softening temperature of said polymer material, heating said second elongated yarn to a temperature below the softening temperature of said polymer material, and twisting said first and second elongated yarns together after said heating to form a composite yarn therefrom having a twisted shape, wherein said temperature is sufficient to prevent said composite yarn from untwisting without said first and second elongated yarns adhering to each other; weaving said twisted yarn into a woven portion; providing a frame; and attaching said woven portion to said frame."
06848248,"20. The method of , wherein said article comprises an article of furniture."
06848248,"21. The method of , wherein said attaching step is performed after said weaving step."
06848248,"22. The method of , wherein said attaching step is performed concurrently within said weaving step."
06848248,"23. The method of , wherein said temperature is in the range of 100° to 200° F."
06848248,"24. The method of , further including cooling said composite twisted yarn after said twisting to ambient temperature."
06848248,"25. The method of , wherein said second elongated yarn has a deformed outer surface and a non-uniform cross-section over its entire length."
06848248,"26. The method of , wherein said first and second elongated yarns have a deformed outer surface and a non-uniform cross-section over their entire length."
06848248,"27. The method of , wherein said first elongated yarn comprises foamed polymer material."
06848248,"28. The method of , wherein said second elongated yarn comprises foamed polymer material."
06848248,"29. The method of , wherein said first and second elongated yarns comprise foamed polymer material."
06848248,"30. A method of making an article having a frame and a woven portion formed from elongated twisted yarns, said method comprising forming a composite twisted yarn by providing a first elongated yarn of polymer material having shape memory properties, said first elongated yarn having a deformed outer surface and a non-uniform cross-section over its entire length, providing a second elongated yarn of polymer material having shape memory properties, heating said first elongated yarn to a temperature below the softening temperature of said polymer material, heating said second elongated yarn to a temperature below the softening temperature of said polymer material, and continually twisting after said heating said first and second elongated yarns together to form a composite yarn therefrom having a twisted shape, wherein said temperature is sufficient to cause said first and second elongated yarns to lose their shape memory properties sufficiently to prevent said composite yarn from untwisting without said first and second elongated yarns adhering to each other; weaving said twisted yarn into a woven portion; providing a frame; and attaching said woven portion to said frame."
06848248,"31. The method of , wherein said article comprises an article of furniture."
06848248,"32. The method of , wherein said attaching step is performed after said weaving step."
06848248,"33. The method of , wherein said attaching step is performed concurrently within said weaving step."
06848248,"34. The method of , wherein said temperature is in the range of 100° to 200° F."
06848248,"35. The method of , further including cooling said composite twisted yarn after said twisting to ambient temperature."
06848248,"36. The method of , wherein said second elongated yarn has a deformed outer surface and a non-uniform cross-section over their entire length."
06848248,"37. The method of , wherein said first and second elongated yarns have a deformed outer surface and a non-uniform cross-section over its entire length."
06848248,"38. The method of , wherein said first elongated yarn comprises foamed polymer material."
06848248,"39. The method of , wherein said second elongated yarn comprises foamed polymer material."
06848248,"40. The method of , wherein said first and second elongated yarns comprise foamed polymer material."
06848249,"1. A turbine engine system comprising a compressor stage having low and high pressure compressors, a turbine stage having high and low pressure turbines, and a regenerator, wherein an exhaust gas output from the high pressure turbine flows to the regenerator before returning to the low pressure turbine."
06848249,"2. The engine system of  further comprising, as an intermediate stage between the high pressure turbine and the low pressure turbine, a feedback control system, whereby the exhaust gas output from the high pressure turbine stage to the regenerator flows through the feedback control."
06848249,"3. The engine system of  further comprising an additional cooler and an additional exhaust gas output in the feedback control, whereby exhaust gas flows from the feedback control through the additional cooler to the high pressure compressor stage."
06848249,"4. The engine system of  further comprising a bottoming cycle system and an additional exhaust gas output in the feedback control, whereby exhaust gas flows from the feedback control through the bottoming cycle to the high pressure compressor stage."
06848249,"5. The engine system of  further comprising, in the bottoming cycle system, an exhaust gas condenser."
06848249,"6. In a conventional intercooled regenerative turbine engine system, the improvement comprising a bottoming cycle system whereby exhaust gas flows from a high pressure turbine stage through the bottoming cycle to a high pressure compressor stage."
06848249,"7. The engine system of  further comprising, in the bottoming cycle system, an exhaust gas condenser."
06848249,"8. The engine system of  wherein the bottoming cycle is further comprised of an organic fluid closed loop and a bottoming turbine."
06848249,"9. The engine system of  wherein the turbine exhaust gas flows through a heat exchanger in the bottoming cycle and thereby transfers heat to the organic fluid closed loop."
06848249,"10. A turbine engine system comprising a compressor stage having low and high pressure compressors, a turbine stage having high and low pressure turbines, and a regenerator, wherein an exhaust gas output from the high pressure turbine flows to the regenerator a through feedback control system before returning to the low pressure turbine."
06848249,"11. The engine system of  further comprising an additional cooler and an additional exhaust gas output in the feedback control, whereby exhaust gas flows from the feedback control through the additional cooler to the high pressure compressor stage."
06848249,"12. The engine system of  further comprising a bottoming cycle system, wherein the cooler and an additional exhaust gas output in the feedback control are part of the bottoming cycle system, whereby exhaust gas flows from the feedback control through the bottoming cycle to the high pressure compressor stage."
06848249,"13. The engine system of  further comprising, in the bottoming cycle system, an exhaust gas condenser."
06848249,"14. The engine system of  further comprising a bottoming cycle system and an additional exhaust gas output in the feedback control, whereby exhaust gas flows from the feedback control through the bottoming cycle to the high pressure compressor stage."
06848249,"15. The engine system of  further comprising, in the bottoming cycle system, an exhaust gas condenser."
06848249,"16. The engine system of  further comprising, in the bottoming cycle system, an exhaust gas condenser and an organic fluid closed loop with fluid cooler, wherein the exhaust gas condenser and the organic fluid cooler are combined by running a cooled organic fluid loop from the cooler through the exhaust gas condenser to absorb heat from the exhaust gases."
06848249,"17. The engine system of  further comprising, in the bottoming cycle system exhaust gas condenser, a cooling air loop from the fluid cooler that passes through the exhaust gas condenser to pre-cool exhaust gases before they pass through the cooled organic fluid loop in the condenser."
06848250,"1. A fuel injection system for a combustion engine, comprising:

"
06848250,"2. A fuel injection system as claimed in , wherein the means for controlling movement of the valve member between its first position and its second position includes means for supplying pressurised fluid to an opposite side of the valve member to the fuel from the fuel inlet."
06848250,"3. A fuel injection system according to , wherein the means for supplying pressurised fluid includes a further valve."
06848250,"4. A fuel injection system according to , wherein the further valve has at least a first port communicating with a pressurised fluid supply, and a second port communicating with the first valve."
06848250,"5. A fuel injection system according to , wherein the valve has a third port which is capable of communicating with the second port."
06848250,"6. A fuel injection system according to , wherein the third port further communicates with the at least one second injector."
06848250,"7. A fuel injection system according to , wherein the further valve is controllable so that (a), in a first condition of the further valve, the third port is closed and the first port is connected to the first valve via the second port whereby, in use, the pressurised fuel from the pressurised fuel supply urges the valve member of the first valve into its first position, and (b), in a second condition of the further valve, the first port is closed and the second and third ports are in communication so that, in use, the valve member of the first valve can move from its first position to its second position and thereby displace fuel through the second and third ports to the at least one second injector during travel of the valve member towards its second position."
06848250,"8. A fuel injection system for a combustion engine, comprising:

"
06848250,"9. A fuel injection system according to , wherein the fuel control valve member is in the form of a piston moveable within a piston chamber."
06848250,"10. A fuel injection system according to , wherein damping means is provided for damping movement of the piston from its first position to its second position."
06848250,"11. A fuel injection system according to , wherein said further valve is a ball valve."
06848250,"12. A fuel injection system according to , wherein a line connecting the second port with the first control valve member contains a flow restriction."
06848250,"13. A fuel injection system according to , wherein the flow restriction is a unidirectional flow restriction."
06848250,"14. A fuel injection system according to , wherein the fuel control system includes means for changing the condition of said further valve."
06848251,"1. In a device for generating a mixture of reducing agent and air for catalytically removing nitrogen from exhaust gases of internal combustion engines, having a mixing space () into which reducing agent can be introduced via a reducing agent delivery conduit (, ) and air can be introduced via an air delivery conduit (, ), the improvement comprising




"
06848251,"2. The device of  wherein the air delivery conduit has at least one bore () embodied in a housing a nozzle wall containing the reducing agent delivery conduit ()."
06848251,"3. The device of  wherein the end portion () is embodied as widening uniformly, forming a mixing space/nozzle angle (α) between the wall and the nozzle of from 10° to 30°."
06848251,"4. The device of  further comprising retention means for retaining the nozzle in the mixing chamber housing bore."
06848251,"5. The device of  wherein the retention means have support ribs ()."
06848251,"6. The device of  wherein the support ribs () are embodied in radiating or helical form."
06848251,"7. The device of  wherein the retention means have centering bumps ()."
06848251,"8. The device of  wherein the retention means have support ribs ()."
06848251,"9. The device of  wherein the support ribs () are embodied in radiating or helical form."
06848251,"10. The device of  further comprising retention means for retaining the nozzle in the mixing chamber housing bore."
06848251,"11. The device of  wherein the retention means have centering bumps ()."
06848251,"12. The device of  wherein the retention means have support ribs ()."
06848251,"13. The device of  wherein the support ribs () are embodied in radiating or helical form."
06848251,"14. The device of  wherein the retention means have support ribs ()."
06848251,"15. The device of  wherein the support ribs () are embodied in radiating or helical form."
06848251,"16. The device of  wherein the at least one bore () is embodied at least partially in radiating or helical form."
06848251,"17. A method for generation a mixture of reducing agent and air for catalytically removing nitrogen from exhaust gases of internal combustion engines, in which a mixing space () is used, into which reducing agent via a reducing agent delivery conduit (, ) and air via and air delivery conduit (, ) are introduced,







"
06848252,"1. An exhaust enhancement device for a motorcycle exhaust pipe comprising a tubular cylindrical body having cylindrical end portions of substantially uniform diameter configured to be received within a motorcycle exhaust pipe adjacent the exit end thereof, and a reduced diameter portion located between said cylindrical end portions and an anti-reversion piece mounted on said tubular cylindrical body and projecting radially inwardly therefrom to at least the center of the tubular body and into path of exhaust gases through the tubular cylindrical body."
06848252,"2. The device of , including a threaded hole provided in said tubular cylindrical body adapted for receiving a threaded fastener for securing the device within the exhaust pipe."
06848252,"3. The device of , including at least one additional threaded hole provided in said tubular cylindrical body, and wherein said anti-reversion piece is threaded into said at least one additional threaded hole and projects into the interior of the tubular cylindrical body."
06848252,"4. The device of , wherein said anti-reversion piece comprises a threaded shaft and a washer welded to said shaft."
06848252,"5. The device of , wherein said anti-reversion piece comprises a shaft having a threaded portion threaded into said threaded hole and an unthreaded portion projecting into the interior of the tubular cylindrical body."
06848252,"6. The device of , additionally including a lock nut threaded onto said anti-reversion piece and tightened against said threaded hole."
06848252,"7. The device of , wherein said threaded hole comprises a hole formed in said tubular cylindrical body and a threaded nut positioned over said hole and welded to the interior surface of the cylindrical body."
06848252,"8. An exhaust enhancement device for a motorcycle exhaust pipe comprising a tubular cylindrical body formed of steel tubing, said body having cylindrical end portions of substantially uniform diameter joined by an integral central portion of substantially uniform diameter, a first hole formed in said cylindrical body, a first threaded nut positioned over said hole on the interior of said cylindrical body and secured in place by welding, a fastener having threads configured for engagement with said first threaded nut for securing the exhaust enhancement device inside the motorcycle exhaust pipe, a second hole formed in said cylindrical body, a second threaded nut positioned over said second hole on the interior of said cylindrical body and secured in place by welding, and an anti-reversion piece threaded into said second threaded nut and projecting inwardly into the interior of the tubular cylindrical body to at least the center of the tubular body and into path of exhaust gases therethrough."
06848252,"9. The device of , wherein said anti-reversion piece comprises a threaded shaft and a washer welded to said shaft."
06848252,"10. An exhaust enhancement device for a motorcycle exhaust pipe comprising a tubular cylindrical body formed of steel tubing, said body having cylindrical end portions of substantially uniform diameter joined by an integral reduced diameter portion of substantially uniform diameter, a first hole formed in said cylindrical body, a first threaded nut positioned over said hole on the interior of said cylindrical body and secured in place by welding, a fastener having threads configured for engagement with said first threaded nut for securing the exhaust enhancement device inside the motorcycle exhaust pipe, a second hole formed in said cylindrical body, a second threaded nut positioned over said second hole on the interior of said cylindrical body and secured in place by welding, and an anti-reversion piece threaded into said second threaded nut and projecting into the interior of the tubular cylindrical body, the anti-reversion piece comprising a threaded shaft and a washer welded to said shaft, wherein said second hole is formed in one of said end portions, and including a third hole formed in the other one of said end portions of said cylindrical body, a third threaded nut positioned over said third hole on the interior of said cylindrical body and secured in place by welding, and an additional anti-reversion piece threaded into said third threaded nut and projecting into the interior of the tubular cylindrical body."
06848252,"11. A motorcycle exhaust system comprising an exhaust pipe having an exit end, and an exhaust enhancement device mounted in said exhaust pipe adjacent the exit end thereof, said exhaust enhancement device comprising a tubular cylindrical body formed of steel tubing, said body having cylindrical end portions of substantially uniform diameter joined by an integral central portion of substantially uniform diameter, a first hole formed in said cylindrical body, a first threaded nut positioned over said hole on the interior of said cylindrical body and secured in place by welding, a threaded fastener extending through said exhaust pipe and threaded into said first threaded nut for securing the exhaust enhancement device inside the motorcycle exhaust pipe, a second hole formed in said cylindrical body, a second threaded nut positioned over said second hole on the interior of said cylindrical body and secured in place by welding, and an anti-reversion piece threaded into said second threaded nut and projecting inwardly into the interior of the tubular cylindrical body to at least the center of the tubular bode and into path of exhaust gases therethrough."
06848252,"12. The system of , wherein said anti-reversion piece comprises a threaded shaft and a washer welded to said shaft."
06848252,"13. A motorcycle exhaust system comprising an exhaust pipe having an exit end, and an exhaust enhancement device mounted in said exhaust pipe adjacent the exit end thereof, said exhaust enhancement device comprising a tubular cylindrical body formed of steel tubing, said body having cylindrical end portions of substantially uniform diameter joined by an integral reduced diameter portion of substantially uniform diameter, a first hole formed in said cylindrical body, a first threaded nut positioned over said hole on the interior of said cylindrical body and secured in place by welding, a threaded fastener extending through said exhaust pipe and threaded into said first threaded nut for securing the exhaust enhancement device inside the motorcycle exhaust pipe, a second hole formed in said cylindrical body, a second threaded nut positioned over said second hole on the interior of said cylindrical body and secured in place by welding, and an anti-reversion piece threaded into said second threaded nut and projecting into the interior of the tubular cylindrical body the anti-reversion piece comprising a threaded shaft and a washer welded to said shaft, wherein said second hole is formed in one of said end portions, and including a third hole formed in the other one of said end portions of said cylindrical body, a third threaded nut positioned over said third hole on the interior of said cylindrical body and secured in place by welding, and an additional anti-reversion piece threaded into said third threaded nut and projecting into the interior of the tubular cylindrical body."
06848253,"1. Method for controlling the lowering movement of lifting cylinder or cylinders of a truck, characterized in that when a lowering is to take place a pump is started in the direction that increase the pressure between the pump and a load holding valve until essentially the same pressure has been achieved as in the lifting cylinder, whereafter the pump motor is switched over from motor operation to generator operation, and the holding valve is opened so that the oil while driving the pump can flow back through this and generate an electric current."
06848253,"2. Method according to , characterized in that a non return valve is arranged between pump and lifting cylinder, in the load holding valve and directed so that oil can be fed from the motor to the lifting cylinder, at which the pump pressure is monitored and the pumping disrupted when the pump pressure is no longer rising due to oil flowing through the non return valve towards the lifting cylinder."
06848253,"3. Method according to , characterized in that as a measure of the pump pressure the drive torque of the motor is measured."
06848253,"4. Method according to , characterized in that the pump is stopped and the valve opened for lowering when the derivative of the pump pressure or drive torque of the pump motor falls to zero, which happens immediately when the non-return valve has opened, since the pressure due to the inertia of the valve initially has time to rise somewhat over that in the lifting cylinder then to fall to the lifting pressure."
06848254,"1. A method for controlling a motor output speed of a variable displacement hydraulic motor, the method comprising the steps of:




"
06848254,"2. The method of , wherein the step of determining a desired position of a control valve includes determining a desired position of a three-way valve member."
06848254,"3. The method of , further comprising:


"
06848254,"4. The method of , wherein the nonlinear feedback control law includes a swashplate angle; and

"
06848254,"5. The method of , wherein the nonlinear feedback control law includes a motor input pressure; and

"
06848254,"6. The method of , further including modifying the feedback control law as a function of an adaptive learning rule."
06848254,"7. The method of , wherein the adaptive learning rule includes a motor output speed."
06848254,"8. The method of , wherein the adaptive learning rule includes a swashplate angle."
06848254,"9. The method of , wherein the adaptive learning rule includes a motor input pressure."
06848254,"10. The method of , wherein the step of determining a desired position of a control valve using a nonlinear feedback control law includes using a quasi-static control method to approximate one or more operating parameters of the motor."
06848254,"11. An apparatus for controlling an output speed of a variable displacement hydraulic motor, the apparatus comprising:





"
06848254,"12. The apparatus of , further including a swashplate angle sensor connected to the swashplate;



"
06848254,"13. The apparatus of , further including a pressure sensor connected to the motor and operable to sense a motor input pressure;



"
06848254,"14. The apparatus of , further comprising a pressurized fluid supply;




"
06848254,"15. The apparatus of , wherein the pressurized fluid supply is communicated to an input port of the motor."
06848254,"16. The apparatus of , wherein:



"
06848254,"17. The apparatus of , wherein the controller is operable to modify the nonlinear feedback control law as a function of an adaptive learning rule."
06848254,"18. The apparatus of , wherein the control valve is an electro-hydraulic control valve."
06848254,"19. The apparatus of , wherein the controller is electrically connected with the control valve and is operable to communicate a control signal to the control valve as a function of the control law."
06848254,"20. The apparatus of , wherein the control valve is a three-way control valve."
06848255,"1. A fan drive system comprising:







"
06848255,"2. The fan drive system of  wherein said priority operator is in communication with said signal operator through a signal conduit and said priority operator is influenced to divide flow based on said communication between said priority operator and said signal operator."
06848255,"3. The fan drive system of , wherein said control valve is operable to modify flow therethrough based on a sensed temperature."
06848255,"4. The fan drive system of  wherein said pump is in fluid communication with said signal operator through a load signal conduit."
06848256,"1. A booster, comprising:




"
06848256,"2. The booster according to , wherein the second permanent magnet constituting said amplification transmission member is arranged on the outside of said first permanent magnet to apply the force of the magnetic field formed by both of said permanent magnets in a direction different from the direction of movement of the inputting member."
06848256,"3. The booster according to , wherein said output application member comprises an elastic member connected directly or indirectly to the outputting member."
06848256,"4. The booster according to , wherein the booster is structured that said amplification transmission member includes a piston slidable in a cylinder by a force received by the second permanent magnet due to the magnetic field formed by both of said permanent magnets and a pipe communicating to the cylinder at one end, and the outputting member includes a piston slidable in a cylinder communicating to the other end of the pipe, so as to convert the force received by the second permanent magnet into pressure for amplification."
06848256,"5. The booster according to , said first permanent magnet and the second permanent magnet are arranged so that their same magnetic poles can face each other, the other end of the pipe is connectedly communicated to a pressure chamber located on the back face side of the piston out of two chambers formed in the cylinder divided by the piston of the outputting member, and the piston can be enforced by repulsive magnetic field received by the second permanent magnet."
